country,country_code,continent,population,indicator,daily_count,date,rate_14_day,source
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-02,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-03,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-04,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-05,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-06,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-07,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-08,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-09,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-10,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-11,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-12,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-13,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-14,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-15,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-16,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-17,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-18,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-19,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-20,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-21,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-22,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-23,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-24,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-25,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-26,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-27,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-28,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-29,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-30,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-31,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-01,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-02,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-03,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-04,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-05,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-06,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-07,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-08,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-09,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-10,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-11,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-12,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-13,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-14,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-15,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-16,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-17,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-18,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-19,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-20,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-21,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-22,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-23,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-24,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,1,2020-02-25,0.00256882254499363,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-26,0.00256882254499363,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-27,0.00256882254499363,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-28,0.00256882254499363,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-02-29,0.00256882254499363,"Epidemic intelligence, national daily data"
